"numforgame","rowforgame","inning","id","Base1","Base2","Base3","out","away","home","Player","direction","result","follow.up","log"
"2","13","1下","第六棒","NA","NA","NA","三出局","兄弟(0)","(0)統一","高國慶","右","接殺","0","6.第六棒1B高國慶:外野飛球，遭到RF接殺，三出局"
"2","14","1下","","NA","NA","NA","三出局","兄弟(0)","(0)統一","","","","0","兄弟(0):(0)統一"
"2","15","2上","","NA","NA","NA","零出局","兄弟(0)","(0)統一","","","","0","2上"
"2","16","2上","第四棒","NA","NA","NA","一出局","兄弟(0)","(0)統一","彭政閔","內","接殺","0","1.第四棒1B彭政閔:內野平飛球，遭到1B接殺，一出局"
"2","17","2上","第五棒","NA","NA","NA","二出局","兄弟(0)","(0)統一","周思齊","","三振","0","2.第五棒LF周思齊:揮棒落空，遭到三振，二出局"
"2","18","2上","第六棒","NA","NA","NA","三出局","兄弟(0)","(0)統一","林威助","","三振","0","3.第六棒DH林威助:沒有出棒遭到三振，三出局"
"2","19","2上","","NA","NA","NA","三出局","兄弟(0)","(0)統一","","","","0","兄弟(0):(0)統一"
"2","20","2下","","NA","NA","NA","零出局","兄弟(0)","(0)統一","","","","0","2下"
"2","21","2下","第七棒","NA","NA","NA","一出局","兄弟(0)","(0)統一","黃恩賜","右","接殺","0","1.第七棒3B黃恩賜:外野飛球，遭到RF接殺，一出局"
"2","22","2下","第八棒","NA","NA","NA","二出局","兄弟(0)","(0)統一","高志綱","內","封殺","0","2.第八棒C高志綱:內野滾地球，2B接到傳向一壘，二出局"
"2","23","2下","第九棒","NA","NA","NA","三出局","兄弟(0)","(0)統一","王寶篁","","三振","0","3.第九棒2B王寶篁:沒有出棒遭到三振，三出局"
"2","24","2下","","NA","NA","NA","三出局","兄弟(0)","(0)統一","","","","0","兄弟(0):(0)統一"
"2","25","3上","","NA","NA","NA","零出局","兄弟(0)","(0)統一","","","","0","3上"
"2","26","3上","第七棒","NA","NA","NA","一出局","兄弟(0)","(0)統一","陳智弘","左","接殺","0","1.第七棒C陳智弘:外野飛球，遭到LF接殺，一出局"
"2","27","3上","第八棒","NA","NA","NA","一出局","兄弟(0)","(0)統一","陳江和","右","一壘安打","0","2.第八棒2B陳江和:右外野一壘安打"
"2","28","3上","第九棒","NA","NA","NA","二出局","兄弟(0)","(0)統一","王勝偉","內","接殺","0","3.第九棒SS王勝偉:內野飛球，2B接殺，二出局"
"2","29","3上","第一棒","NA","NA","NA","三出局","兄弟(0)","(0)統一","張正偉","內","","0","4.第一棒RF張正偉:內野滾地球，投手接到傳給1B，三出局"
"2","30","3上","","NA","NA","NA","三出局","兄弟(0)","(0)統一","","","","0","兄弟(0):(0)統一"
"2","31","3下","","NA","NA","NA","零出局","兄弟(0)","(0)統一","","","","0","3下"
"2","32","3下","第一棒","NA","NA","NA","一出局","兄弟(0)","(0)統一","劉芙豪","內","封殺","0","1.第一棒RF劉芙豪:內野滾地球，SS接到傳向一壘，一出局"
"2","33","3下","第二棒","NA","NA","NA","二出局","兄弟(0)","(0)統一","郭俊佑","","三振","0","2.第二棒CF郭俊佑:三振，二出局"
"2","34","3下","第三棒","NA","NA","NA","三出局","兄弟(0)","(0)統一","潘武雄","內","封殺","0","3.第三棒潘武雄:內野滾地球，1B接到傳給補位的投手，三出局"
"2","35","3下","","NA","NA","NA","三出局","兄弟(0)","(0)統一","","","","0","兄弟(0):(0)統一"
"2","36","4上","","NA","NA","NA","零出局","兄弟(0)","(0)統一","","","","1","4上"
"2","37","4上","第二棒","NA","NA","NA","零出局","兄弟(0)","(0)統一","張志豪","左","二壘安打","1","1.第二棒張志豪:左外野二壘安打"
"2","38","4上","第三棒","NA","NA","NA","一出局","兄弟(0)","(0)統一","羅培茲","右","接殺","1","2.第三棒羅培茲:外野飛球，遭到RF接殺，跑者上到三壘，一出局"
"2","39","4上","第四棒","NA","NA","NA","二出局","兄弟(0)","(0)統一","彭政閔","右","高飛犧牲打犧牲短打","1","3.第四棒彭政閔:右外野飛球形成高飛犧牲打，帶有一分打點，二出局"
"2","40","4上","第五棒","NA","NA","NA","三出局","兄弟(0)","(0)統一","周思齊","","三振","1","4.第五棒周思齊:三振，三出局"
"2","41","4上","","NA","NA","NA","三出局","兄弟(1)","(0)統一","","","","1","兄弟(1):(0)統一"
"2","42","4下","","NA","NA","NA","零出局","兄弟(1)","(0)統一","","","","0","4下"
"2","43","4下","第四棒","NA","NA","NA","零出局","兄弟(1)","(0)統一","鄧志偉","右","二壘安打","0","1.第四棒鄧志偉:右外野二壘安打"
"2","44","4下","第五棒","NA","NA","NA","一出局","兄弟(1)","(0)統一","陳鏞基","左","接殺","0","2.第五棒陳鏞基:外野飛球，遭到LF接殺，跑者上到三壘，一出局"
"2","45","4下","第六棒","NA","NA","NA","二出局","兄弟(1)","(0)統一","高國慶","內","夾殺","0","3.第六棒高國慶:內野滾地球，3B接到傳給C，原三壘跑者鄧志偉遭夾殺，二出局"
"2","46","4下","第七棒","NA","NA","NA","三出局","兄弟(1)","(0)統一","黃恩賜","左","接殺","0","4.第七棒黃恩賜:外野飛球，遭到LF接殺，三出局"
"2","47","4下","","NA","NA","NA","三出局","兄弟(1)","(0)統一","","","","0","兄弟(1):(0)統一"
"2","48","5上","","NA","NA","NA","零出局","兄弟(1)","(0)統一","","","","1","5上"
"2","49","5上","第六棒","NA","NA","NA","零出局","兄弟(1)","(0)統一","林威助","左","全壘打","1","1.第六棒林威助:左外野陽春全壘打，帶有一分打點"
"2","50","5上","第七棒","NA","NA","NA","一出局","兄弟(1)","(0)統一","陳智弘","","三振","1","2.第七棒陳智弘:三振，一出局"
"2","51","5上","第八棒","NA","NA","NA","一出局","兄弟(1)","(0)統一","陳江和","","一壘安打","1","3.第八棒陳江和:二壘防區穿越一壘安打"
"2","52","5上","第九棒","NA","NA","NA","二出局","兄弟(1)","(0)統一","王勝偉","內","","1","4.第九棒王勝偉:內野滾地球，SS接到傳給2B使跑者出局，打者上到一壘，二出局"
"2","53","5上","第一棒","NA","NA","NA","二出局","兄弟(1)","(0)統一","張正偉","中","一壘安打","1","5.第一棒張正偉:中外野一壘安打"
"2","54","5上","第二棒","NA","NA","NA","三出局","兄弟(1)","(0)統一","張志豪","內","接殺","1","6.第二棒張志豪:內野飛球，SS接殺出局，三出局"
"2","55","5上","","NA","NA","NA","三出局","兄弟(2)","(0)統一","","","","1","兄弟(2):(0)統一"
"2","56","5下","","NA","NA","NA","零出局","兄弟(2)","(0)統一","","","","0","5下"
"2","57","5下","第八棒","NA","NA","NA","一出局","兄弟(2)","(0)統一","高志綱","","三振","0","1.第八棒高志綱:三振，一出局"
"2","58","5下","第九棒","NA","NA","NA","二出局","兄弟(2)","(0)統一","王寶篁","","三振","0","2.第九棒王寶篁:三振，二出局"
"2","59","5下","第一棒","NA","NA","NA","三出局","兄弟(2)","(0)統一","劉芙豪","中","接殺","0","3.第一棒劉芙豪:外野飛球，CF接殺，三出局"
"2","60","5下","","NA","NA","NA","三出局","兄弟(2)","(0)統一","","","","0","兄弟(2):(0)統一"
"2","61","6上","","NA","NA","NA","零出局","兄弟(2)","(0)統一","","","","0","6上"
